rank,score,tier,l1,l2,l3,l4,l5,name,retailer,country,price,cur,azn,reviews,bestseller_ranks,countries,url,img,ev
1,100.0,Ranked in 3+ chains,HOUSEHOLD CLEANING,Cleaning Cloths,All-purpose cloths,Microfibre,"Microfibre cleaning cloths, multipack","Набор тряпок из микрофибры, BonHome, 20х30 см, 5 шт.",Fix Price,Russia,87,RUB,1.75,6772,#2 Fix Price Russia (Для дома > Для уборки (cleaning tools)); #3 n11 Turkey (n11 search: mikrofiber bez); #7 Fix Price Kazakhstan (Для дома > Для уборки (Cleaning)); #15 Carrefour Poland (Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5040273-nabor-tryapok-iz-mikrofibry-onome-20h30-sm-5-sht,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/46/46388091630617597c461371722085e6.jpg,Fix Price Russia: #2 in 'Для дома > Для уборки (cleaning tools)' (sorted by units sold); n11 Turkey: #3 in 'n11 search: mikrofiber bez' (best-selling); Fix Price Kazakhstan: #7 in 'Для дома > Для уборки (Cleaning)' (popular first); Carrefour Poland: #15 in 'Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki' (most popular) | Fix Price RU & KZ (5+ microfibre multipack SKUs); Action PL: Ściereczki z mikrofibry Spargo (several SKUs); n11 TR: 'Mikrofiber Temizlik Bezi 5'li' listing
2,99.9,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Electrical & Power,Batteries,Household batteries,"AAA alkaline batteries, multipack","Батарейки алкалиновые, ААА, 4 шт.",Fix Price,Russia,79,RUB,1.59,2357,"#1 Fix Price Kazakhstan (Для дома > Электротовары (Electrical)); #1 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)); #2 Carrefour Poland (Elektronika > Telewizory i RTV > Akcesoria > Baterie); #23 n11 Turkey (n11 search: pil)","Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/elektrotovary/p-5014004-batareyki-alkalinovye-aaa-4-sht,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/fa3ecfaa1cdd37d4542a47002b0047a4_44.jpg,"Fix Price Kazakhstan: #1 in 'Для дома > Электротовары (Electrical)' (popular first); Fix Price Russia: #1 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold); Carrefour Poland: #2 in 'Elektronika > Telewizory i RTV > Akcesoria > Baterie' (most popular); n11 Turkey: #23 in 'n11 search: pil' (best-selling) | Fix Price 79 RUB ('Электротовары'); Action PL A-Force AAA 20 pcs 9.95 zl, Philips AAA 10 pcs 10.95 zl; n11: Duracell AAA 10'lu 2,357 reviews, Duracell AAA 20'li 387 reviews"
3,99.6,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Electrical & Power,Batteries,Household batteries,Lithium coin cell batteries CR2032,Baterie guzikowe Varta CR2032,Action,Poland,8.49,PLN,3.75,2013,"#5 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)); #8 Fix Price Kazakhstan (Для дома > Электротовары (Electrical)); #9 n11 Turkey (n11 search: pil); #11 Carrefour Poland (Elektronika > Telewizory i RTV > Akcesoria > Baterie)","Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3205213/baterie-guzikowe-varta-cr2032/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/38282100.webp,"Fix Price Russia: #5 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold); Fix Price Kazakhstan: #8 in 'Для дома > Электротовары (Electrical)' (popular first); n11 Turkey: #9 in 'n11 search: pil' (best-selling); Carrefour Poland: #11 in 'Elektronika > Telewizory i RTV > Akcesoria > Baterie' (most popular) | Action PL 8.49 zl (5 pcs, 1.70 zl/pc) plus own-brand A-Force CR2032 6 pcs and 20-pc lithium coin packs; Fix Price CR2032 GR 2 pcs 174.50 RUB; n11: GP CR2032 5'li 2,013 reviews, Maxell CR2032 5'li 1,346 reviews, Duracell CR2032 566 reviews"
4,97.8,Ranked in 3+ chains,KITCHEN TOOLS,Cutting boards,Wood & bamboo boards,Small,Small wooden / bamboo cutting board,"Доска разделочная, O'Kitchen, 25х20 см",Fix Price,Russia,229,RUB,4.6,792,#11 n11 Turkey (n11 search: kesme tahtası); #51 Fix Price Kazakhstan (Для дома > Для кухни (Kitchen)); #88 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne); #194 Fix Price Russia (Для дома > Для кухни (Kitchen)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5092599-doska-razdelochnaya-itchen-25h20-sm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/33/3344551bfca46f0635e96a125fcf278e.jpg,"n11 Turkey: #11 in 'n11 search: kesme tahtası' (best-selling); Fix Price Kazakhstan: #51 in 'Для дома > Для кухни (Kitchen)' (popular first); Carrefour Poland: #88 in 'Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne' (most popular); Fix Price Russia: #194 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold) | Fix Price 229 RUB (acacia wood); Fix Price kitchen category sorted 'popular first' (dlya-kukhni?sort=sold, 78 pages x 24): this SKU on page 4 (top ~96); n11: Karaca Defne 2-pc bamboo board 792 reviews, Karaca Triple bamboo set 206, Karaca Owen bamboo board 137, Mucit Home 2-pc bamboo set 7 reviews (249 TL)"
5,97.7,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Electrical & Power,Batteries,Rechargeable batteries,"Rechargeable NiMH AA batteries, 4-pack","Батарейки аккумуляторные, 4 шт., АА",Fix Price,Russia,199,RUB,3.99,747,"#8 n11 Turkey (n11 search: pil); #15 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)); #27 Fix Price Kazakhstan (Для дома > Электротовары (Electrical)); #39 Carrefour Poland (Elektronika > Telewizory i RTV > Akcesoria > Baterie)","Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/elektrotovary/p-5014125-batareyki-akkumulyatornye-4-sht-aa,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/24c4b599e41caad909fb942311fd96dd_14.jpg,"n11 Turkey: #8 in 'n11 search: pil' (best-selling); Fix Price Russia: #15 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold); Fix Price Kazakhstan: #27 in 'Для дома > Электротовары (Electrical)' (popular first); Carrefour Poland: #39 in 'Elektronika > Telewizory i RTV > Akcesoria > Baterie' (most popular) | Fix Price 199 RUB (also AAA version); Action PL GP rechargeable AA 4 pcs 2500 mAh 21.95 zl; n11: Duracell 2500 mAh AA 2'li 747 reviews, Varta AAA 800 mAh 4'lu 283 reviews"
6,97.1,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Electrical & Power,Lighting,LED bulbs,LED bulb E27 (standard A60),"Лампа cветодиодная ""ЭРА"", E27, 15 Вт, в ассортименте",Fix Price,Russia,79,RUB,1.59,538,"#3 Carrefour Poland (Wyposażenie domu > Oświetlenie (all)); #9 Fix Price Kazakhstan (Для дома > Электротовары (Electrical)); #10 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)); #11 n11 Turkey (n11 search: led ampul)","Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5011034-lampa-cvetodiodnaya-era-27-15-vt-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/lampa_anons.jpg,"Carrefour Poland: #3 in 'Wyposażenie domu > Oświetlenie (all)' (most popular); Fix Price Kazakhstan: #9 in 'Для дома > Электротовары (Electrical)' (popular first); Fix Price Russia: #10 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold); n11 Turkey: #11 in 'n11 search: led ampul' (best-selling) | Fix Price 79 RUB (15 W, 1200 lm); Action PL Philips LED E27 8.49 zl, LSC 3-pack 12.95 zl; n11: 9 W E27 10-pack 538 reviews, Voltek 9 W E27 186 reviews"
7,97.0,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Electrical & Power,Power & Sockets,Plug adapters,Wall socket splitter / multi-plug adapter (with USB),"Поворотный сетевой разветвитель, FLARX, 2 гнезда, 2 USB порта, в ассортименте",Fix Price,Russia,149,RUB,2.99,530,"#1 Carrefour Poland (Wyposażenie domu > Oświetlenie (all)); #3 Fix Price Kazakhstan (Для дома > Электротовары (Electrical)); #4 n11 Turkey (n11 search: uzatma kablosu); #21 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile))","Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5013488-povorotnyy-setevoy-razvetvitel--2-gnezda-2--porta-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/bc/bc4b5789e73106372315a4ebb4de7309.jpg,"Carrefour Poland: #1 in 'Wyposażenie domu > Oświetlenie (all)' (most popular); Fix Price Kazakhstan: #3 in 'Для дома > Электротовары (Electrical)' (popular first); n11 Turkey: #4 in 'n11 search: uzatma kablosu' (best-selling); Fix Price Russia: #21 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold) | Fix Price 149 RUB (rotating, 2 sockets + 2 USB); Action PL 'Rozdzielacz Pro-max' splitter 7.99 zl and Grundig socket adapter 38.90 zl"
8,96.7,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Electrical & Power,Batteries,Household batteries,"AA alkaline batteries, multipack","Батарейки алкалиновые АА, 4 шт.",Fix Price,Russia,99,RUB,1.99,453,"#1 Carrefour Poland (Elektronika > Telewizory i RTV > Akcesoria > Baterie); #2 Fix Price Kazakhstan (Для дома > Электротовары (Electrical)); #2 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)); #13 n11 Turkey (n11 search: pil)","Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/elektrotovary/p-5014027-batareyki-alkalinovye-aa-4-sht,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/1fbbae9eefc1da2c10510e569ae07176_45.jpg,"Carrefour Poland: #1 in 'Elektronika > Telewizory i RTV > Akcesoria > Baterie' (most popular); Fix Price Kazakhstan: #2 in 'Для дома > Электротовары (Electrical)' (popular first); Fix Price Russia: #2 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold); n11 Turkey: #13 in 'n11 search: pil' (best-selling) | Fix Price 99 RUB, listed first in 'Электротовары'; Action PL A-Force AA 20 pcs 9.95 zl, Philips AA 12 pcs 7.95 zl; n11: Duracell AA 20'li 453 reviews, Duracell AA 10x3 450 reviews, Varta 60'li 362 reviews"
9,96.4,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Fixing & Hanging,Adhesives & Tapes,Tapes,"Electrical insulating tape (PVC), multipack","Набор изолент, Master Hand, 5 шт.",Fix Price,Russia,83,RUB,1.67,389,#2 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #7 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)); #9 Carrefour Poland (Wyposażenie domu > Oświetlenie (all)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/dlya-remonta/p-5006095-nabor-izolent-aster-and-5-sht,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/cd7c089f6ff6978949a8caf87310ee34_17.jpg,"Fix Price Kazakhstan: #2 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #7 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold); Carrefour Poland: #9 in 'Wyposażenie domu > Oświetlenie (all)' (most popular) | Fix Price 83 RUB for 5 rolls (also ERA 15 mm x 20 m); Action PL insulating tape 0.80 zl/pc; n11: electrical tape 10-pack 389 reviews, Schneider 8-pack 239 reviews, 3M Temflex 10-pack 221 reviews"
10,94.5,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Tools,Hand Tools,Pliers & cutters,Combination pliers,"Пассатижи, Master Hand, 15 см",Fix Price,Russia,116,RUB,2.33,143,#1 Carrefour Poland (Dom i ogród > Narzędzia); #13 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #14 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/spets-tsena-by-po-karteby/p-5001012-passatiji-aster-and-15-sm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/b90bab89a1c8d1db9a3d999fffa132d9_19.jpg,"Carrefour Poland: #1 in 'Dom i ogród > Narzędzia' (most popular); Fix Price Kazakhstan: #13 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #14 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold) | Fix Price 116 RUB (card special); Action PL Werckmann pliers 9.87 zl; n11: Knipex combination pliers 143 reviews, Bosch 3-pc pliers set 121 reviews"
