rank,l5,suggested_filename,image_url,product_url,retailer
1,"Microfibre cleaning cloths, multipack",001_microfibre-cleaning-cloths-multipack.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/46/46388091630617597c461371722085e6.jpg,https://fix-price.com/catalog/dlya-doma/p-5040273-nabor-tryapok-iz-mikrofibry-onome-20h30-sm-5-sht,Fix Price
2,"AAA alkaline batteries, multipack",002_aaa-alkaline-batteries-multipack.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/fa3ecfaa1cdd37d4542a47002b0047a4_44.jpg,https://fix-price.com/catalog/dlya-doma/elektrotovary/p-5014004-batareyki-alkalinovye-aaa-4-sht,Fix Price
3,Lithium coin cell batteries CR2032,003_lithium-coin-cell-batteries-cr2032.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/38282100.webp,https://www.action.com/pl-pl/p/3205213/baterie-guzikowe-varta-cr2032/,Action
4,Small wooden / bamboo cutting board,004_small-wooden-bamboo-cutting-board.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/33/3344551bfca46f0635e96a125fcf278e.jpg,https://fix-price.com/catalog/dlya-doma/p-5092599-doska-razdelochnaya-itchen-25h20-sm,Fix Price
5,"Rechargeable NiMH AA batteries, 4-pack",005_rechargeable-nimh-aa-batteries-4-pack.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/24c4b599e41caad909fb942311fd96dd_14.jpg,https://fix-price.com/catalog/dlya-doma/elektrotovary/p-5014125-batareyki-akkumulyatornye-4-sht-aa,Fix Price
6,LED bulb E27 (standard A60),006_led-bulb-e27-standard-a60.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/lampa_anons.jpg,https://fix-price.com/catalog/dlya-doma/p-5011034-lampa-cvetodiodnaya-era-27-15-vt-v-assortimente,Fix Price
7,Wall socket splitter / multi-plug adapter (with USB),007_wall-socket-splitter-multi-plug-adapter-with-usb.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/bc/bc4b5789e73106372315a4ebb4de7309.jpg,https://fix-price.com/catalog/dlya-doma/p-5013488-povorotnyy-setevoy-razvetvitel--2-gnezda-2--porta-v-assortimente,Fix Price
8,"AA alkaline batteries, multipack",008_aa-alkaline-batteries-multipack.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/1fbbae9eefc1da2c10510e569ae07176_45.jpg,https://fix-price.com/catalog/dlya-doma/elektrotovary/p-5014027-batareyki-alkalinovye-aa-4-sht,Fix Price
9,"Electrical insulating tape (PVC), multipack",009_electrical-insulating-tape-pvc-multipack.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/cd7c089f6ff6978949a8caf87310ee34_17.jpg,https://fix-price.com/catalog/dlya-doma/dlya-remonta/p-5006095-nabor-izolent-aster-and-5-sht,Fix Price
10,Combination pliers,010_combination-pliers.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/b90bab89a1c8d1db9a3d999fffa132d9_19.jpg,https://fix-price.com/catalog/spets-tsena-by-po-karteby/p-5001012-passatiji-aster-and-15-sm,Fix Price
11,Self-adhesive wall hooks (no drilling),011_self-adhesive-wall-hooks-no-drilling.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1080/27375258.webp,https://www.action.com/pl-pl/p/3004913/haczyki-do-zawieszania-tesa/,Action
12,"Plastic clothes hangers, basic multipack",012_plastic-clothes-hangers-basic-multipack.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/e5/e5a02608efb74c6016add41d2b6ef849.jpg,https://fix-price.com/catalog/dlya-doma/p-5060567-nabor-veshalok-dlya-lgkoy-odejdy-3-sht,Fix Price
13,Soap dish,013_soap-dish.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/7b/7b5fdc76f4bc3f41013154c084145116.jpg,https://fix-price.com/catalog/dlya-doma/p-5032147-mylnitsa-bambukovaya-ath-epublic-13h9-sm,Fix Price
14,Double-sided adhesive tape,014_double-sided-adhesive-tape.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/9f/9fb56f94b24a898d05a35ce141542259.jpg,https://fix-price.com/catalog/dlya-doma/p-5006152-kleykaya-lenta-dvustoronnyaya-aster-and-3-sm-h-1-m,Fix Price
15,Masking tape (paper),015_masking-tape-paper.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/323dcfa447b9cb6a52b0e38c79dfd7b7.jpg,https://fix-price.com/catalog/dlya-doma/p-5006119-malyarnaya-kleykaya-lenta-48-mm-h-20-m,Fix Price
16,Flat mop replacement pad (microfibre),016_flat-mop-replacement-pad-microfibre.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/8b/8b03643c09c71817ccc76ae54d0d9c47.jpg,https://fix-price.com/catalog/dlya-doma/p-5040480-nasadka-na-shvabru-ome-ime-42h14-sm-v-assortimente,Fix Price
17,"Dish sponges, multipack (foam with scourer)",017_dish-sponges-multipack-foam-with-scourer.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/ce35a23ef411f4f9c94e034f9a275d9c_9.jpg,https://fix-price.com/catalog/dlya-doma/p-5025319-gubki-dlya-mytya-posudy-10-sht,Fix Price
18,"Extension lead, 3-socket",018_extension-lead-3-socket.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/cbf86f6fb04cef6c1fbd7c0fa19ad69d_41.jpg,https://fix-price.com/catalog/dlya-doma/p-5013234-bytovoy-udlinitel-era-3-m-3-gnezda,Fix Price
19,Packing tape (with dispenser),019_packing-tape-with-dispenser.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3009193_8718964321858-111_01_ew9hlj.webp,https://www.action.com/pl-pl/p/3009193/tasma-do-pakowania-z-dozownikiem-tcx/,Action
20,"Plastic storage box with lid, small (5-10 L)",020_plastic-storage-box-with-lid-small-5-10-l.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/70f94bc57f76beac4df9e4d1860b19de.jpg,https://fix-price.com/catalog/dlya-doma/p-5069571-korobka-s-kryshkoy-imako-7-l,Fix Price
21,Power strip / surge-protected multi-socket (4-6 outlets),021_power-strip-surge-protected-multi-socket-4-6-outle.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3007327_8711332491665-110_01_ukg4sd.webp,https://www.action.com/pl-pl/p/3007327/listwa-zasilajaca-pro-max/,Action
22,Suction corner shower shelf,022_suction-corner-shower-shelf.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/a0/a0b197060e55ee06ff66c0e69c46717c.jpg,https://fix-price.com/catalog/dlya-doma/p-5079275-polochka-dlya-vannoy-uglovaya-ath-epublic-23h23h9-sm,Fix Price
23,Large microfibre cloth (50x70 cm),023_large-microfibre-cloth-50x70-cm.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/1a/1a2ea764e775eac85d4d5b73f5666a58.jpg,https://fix-price.com/catalog/dlya-doma/p-5040589-tryapka-iz-mikrofibry-onome-50h70-sm-v-assortimente,Fix Price
24,Stainless steel spiral scourers,024_stainless-steel-spiral-scourers.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/78/78850a32db2b2854cb613591493eedcf.jpg,https://fix-price.com/catalog/dlya-doma/p-5026113-nabor-gubok-metallicheskih-onome-3-sht,Fix Price
25,"Plastic clothes pegs, multipack",025_plastic-clothes-pegs-multipack.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/5060266_1500_ANONS.png,https://fix-price.com/catalog/dlya-doma/p-5060266-prischepki-akvamag-10-sht-v-assortimente,Fix Price
26,"Household rubber gloves (latex), 1 pair",026_household-rubber-gloves-latex-1-pair.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/7e/7e8af4cc9bdce2efea82956c6ced7c63.jpeg,https://fix-price.com/catalog/dlya-doma/p-5043069-perchatki-hozyaystvennye-onome-1-para-v-assortimente,Fix Price
27,"Ceramic mug, 350 ml, single",027_ceramic-mug-350-ml-single.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/ab/abbab8c5435b5b3b99074813af32691d.jpg,https://fix-price.com/catalog/dlya-doma/p-5091524-krujka-itchen-350-ml-v-assortimente,Fix Price
28,Lint roller (sticky clothes roller),028_lint-roller-sticky-clothes-roller.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/7f185067de363ef63a240baae9c6db62_42.jpg,https://fix-price.com/catalog/dlya-doma/aksessuary-dlya-odezhdy/p-5050013-rolik-dlya-chistki-odejdy-ome-ime-64-lista-v-assortimente,Fix Price
29,Character / licensed printed mug,029_character-licensed-printed-mug.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1080/3219409_3664944719380-111_01_egnd1t.webp,https://www.action.com/pl-pl/p/3219409/kubek-hello-kitty/,Action
30,Profiled grip dish sponges,030_profiled-grip-dish-sponges.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/ebec7635ae41e74aad17c223fec24324.jpg,https://fix-price.com/catalog/dlya-doma/tovary-dlya-uborki/p-5026182-gubka-dlya-mytya-posudy-profilnaya-onome-5-sht,Fix Price
31,Handheld shower head with hose set,031_handheld-shower-head-with-hose-set.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/ee/ee167899566d76bc97fabb2c6b98f92a.jpg,https://fix-price.com/catalog/dlya-doma/p-5032084-leyka-dlya-dusha-so-shlangom-ath-epublic-15-m,Fix Price
32,Toilet brush with closed holder,032_toilet-brush-with-closed-holder.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/f1/f167547f3be8d906d5ee8155fb1e8ce4.jpg,https://fix-price.com/catalog/dlya-doma/p-5031103-komplekt-dlya-tualeta-zakrytyy-v-assortimente,Fix Price
33,"Cable ties (nylon zip ties), pack",033_cable-ties-nylon-zip-ties-pack.jpg,https://n11scdn.akamaized.net/a1/400_570/14/27/25/23/IMG-3742724073537519274.png,https://www.n11.com/urun/siyah-plastik-cirt-kelepce-36mm-30cm-kablo-bagi-elektrik-kablosu-74280195,n11
34,Household screwdriver set (flat + Phillips),034_household-screwdriver-set-flat-phillips.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/38064396.webp,https://www.action.com/pl-pl/p/3215284/zestaw-srubokretow-werckmann/,Action
35,Self-adhesive furniture felt pads,035_self-adhesive-furniture-felt-pads.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3221237_8715342054520-111_01_elf6fj.webp,https://www.action.com/pl-pl/p/3221237/ochraniacze-na-nogi-krzesel/,Action
36,"Small freezer containers, multipack (16-24 pcs)",036_small-freezer-containers-multipack-16-24-pcs.jpg,https://n11scdn.akamaized.net/a1/400_570/11/71/00/60/IMG-5630272353466966089.jpg,https://www.n11.com/urun/porsima-1046-no-frost-saklama-kabi-beyaz-16li-50781848,n11
37,Lint roller refills,037_lint-roller-refills.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/e9/e9fecb30570c4ff4b92bfcb09a8f81bd.jpg,https://fix-price.com/catalog/dlya-doma/p-5050012-smennye-bloki-dlya-rolika-ome-ime-2-sht,Fix Price
38,"Window washer with sponge & squeegee, telescopic",038_window-washer-with-sponge-squeegee-telescopic.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/0e/0e64d4473703961d098da45906f150c8.jpg,https://fix-price.com/catalog/dlya-doma/p-5044119-oknomoyka-s-teleskopicheskoy-ruchkoy,Fix Price
39,Anti-slip PVC bath/shower mat,039_anti-slip-pvc-bath-shower-mat.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/02/022d6a825f705b1922c82a4b9dc37e5a.jpg,https://fix-price.com/catalog/dlya-doma/p-5035131-kovrik-antiskolzyaschiy-ath-epublic-65h120-sm-v-assortimente,Fix Price
40,Vegetable peeler,040_vegetable-peeler.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/ad/adce4986ea1237f1af64f1f40c3b9269.JPG,https://fix-price.com/catalog/dlya-doma/p-5021663-ovoschechistka-itchen-v-assortimente,Fix Price
41,Cookie cutter set,041_cookie-cutter-set.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3219356_8715275391235-111_01_mmddh4.webp,https://www.action.com/pl-pl/p/3219356/foremki-do-wykrawania/,Action
42,Nylon turner (frying spatula),042_nylon-turner-frying-spatula.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3219762_8721098348530-110_01_irjtt1.webp,https://www.action.com/pl-pl/p/3219762/szpatulka-masterchef/,Action
43,Digital room thermometer-hygrometer,043_digital-room-thermometer-hygrometer.jpg,https://n11scdn.akamaized.net/a1/400_570/10/44/01/24/IMG-8361671015379582794.jpg,https://www.n11.com/urun/probsuz-dijital-ic-veya-dis-sicaklik-olcer-ev-termometre-higrom-54912661,n11
44,Snap-off utility knife (box cutter) with spare blades,044_snap-off-utility-knife-box-cutter-with-spare-blade.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/5001089_1_1.jpg,https://fix-price.com/catalog/dlya-doma/p-5001089-vydvijnoy-noj-aster-and-s-zapasnymi-lezviyami-3-sht-v-assortimente,Fix Price
45,Glass / ceramic oven baking dish,045_glass-ceramic-oven-baking-dish.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/26503017.webp,https://www.action.com/pl-pl/p/2569016/naczynie-do-zapiekania-cook-n-share/,Action
46,Long-handled broom and dustpan set,046_long-handled-broom-and-dustpan-set.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/37/3787996ec5229eb9e7b93b4b9c7113bc.jpg,https://fix-price.com/catalog/dlya-doma/p-5044115-schtka-s-sovkom-ome-ime-90-sm,Fix Price
47,Glass / hob scraper with blades,047_glass-hob-scraper-with-blades.jpg,https://www.carrefour.pl/images/product/350x350/skrobak-fackelmann-60140-htp1h6.jpg,https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/wyposazenie-domu/kuchnia-i-jadalnia/akcesoria-kuchenne-ul/skrobak-fackelmann-60140,Carrefour
48,Flat hand grater with handle,048_flat-hand-grater-with-handle.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/d5/d5fe4db942bfdfe062d5679996fce1f0.jpg,https://fix-price.com/catalog/dlya-doma/p-5021693-trka-s-ruchkoy-itchen-23-sm-v-assortimente,Fix Price
49,"Plastic storage basket, open, small",049_plastic-storage-basket-open-small.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/korzinka_anons.jpg,https://fix-price.com/catalog/dlya-doma/p-5069307-korzinka-hozyaystvennaya-25h15h7-sm-v-assortimente,Fix Price
50,Glass tealight holder,050_glass-tealight-holder.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/782bd3dc8402a5e78dcd88691ddcee23_41.JPG,https://fix-price.com/catalog/suveniry-i-podarki/p-5230065-podsvechnik-deyzi-v-assortimente,Fix Price
51,Knit / rattan-effect plastic basket,051_knit-rattan-effect-plastic-basket.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3205642_3253924854724-110_01_suquw7.webp,https://www.action.com/pl-pl/p/3205642/kosz-do-przechowywania-curver-knit/,Action
52,"Plastic food container set, 3-piece",052_plastic-food-container-set-3-piece.jpg,https://n11scdn.akamaized.net/a1/400_570/03/70/09/27/IMG-5750968869411744056.jpg,https://www.n11.com/urun/karaca-massimo-3lu-saklama-kabi-seti-yesil-37501709,n11
53,Hot glue gun with glue sticks,053_hot-glue-gun-with-glue-sticks.jpg,https://n11scdn.akamaized.net/a1/400_570/08/41/46/43/IMG-3973528070733193731.jpg,https://www.n11.com/urun/100watt-sicak-silikon-tabancasi-10-adet-cubuk-slikon-cekme-eritme-7114461,n11
54,Self-adhesive towel/wall hook,054_self-adhesive-towel-wall-hook.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/2521958_8715062018314-110_01_jvsnen.webp,https://www.action.com/pl-pl/p/2521958/haczyk-na-recznik/,Action
55,Scented candle in glass jar,055_scented-candle-in-glass-jar.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/b5/b5d8bbfc9646762554db383413ddaabd.jpg,https://fix-price.com/catalog/suveniry-i-podarki/p-5231189-svecha-aromaticheskaya-v-stakane-v-assortimente,Fix Price
56,Self-wringing sponge/twist mop,056_self-wringing-sponge-twist-mop.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/f5/f5dd8c44a31d657721e6ae4820390f19.jpg,https://fix-price.com/catalog/dlya-doma/p-5044111-shvabra-s-otjimom-ome-ime-120-sm,Fix Price
57,LED pocket torch / flashlight,057_led-pocket-torch-flashlight.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/910bb70e3874db9c71a7698fa1a13ba5_43.jpg,https://fix-price.com/catalog/dlya-doma/p-5012087-fonarik-svetodiodnyy--95-sm-v-assortimente,Fix Price
58,Porcelain tea cup with saucer,058_porcelain-tea-cup-with-saucer.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1080/3218989_8721098347939-111_01_ed3sre.webp,https://www.action.com/pl-pl/p/3218989/porcelanowa-filizanka-i-spodek/,Action
59,Anti-slip textile bath mat,059_anti-slip-textile-bath-mat.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/1aea4a0a380b8d8d7752e173411d1e50.jpg,https://fix-price.com/catalog/dlya-doma/tekstil/p-5035223-kovrik-dlya-vannoy-ath-epublic-80h50-sm-v-assortimente,Fix Price
60,Terry hand towel (40x70 / 50x90),060_terry-hand-towel-40x70-50x90.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/f4316be91107c48e13fd87a06ccc0f9f_27.jpg,https://fix-price.com/catalog/dlya-doma/tekstil/p-5070727-polotentse-mahrovoe-40h70-v-assortimente,Fix Price
61,Tape measure 5 m,061_tape-measure-5-m.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/7d1e6ec611436d3bb8fa42a435cad56b_44.jpg,https://fix-price.com/catalog/dlya-doma/dlya-remonta/p-5003013-ruletka-aster-and-5-m-v-assortimente,Fix Price
62,Heavy-duty scouring sponges (grill/pan),062_heavy-duty-scouring-sponges-grill-pan.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/524b016745568e11c95e18248c887118.jpg,https://fix-price.com/catalog/dlya-doma/tovary-dlya-uborki/p-5026181-nabor-gubok-dlya-silnyh-zagryazneniy-onome-7-sht,Fix Price
63,Clothesline rope,063_clothesline-rope.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/dd/dd9c2ef25e5563f52b77278f2faae7ae.jpg,https://fix-price.com/catalog/dlya-doma/p-5063033-vervka-dlya-belya-ome-ime-6-mm-h-10-m-v-assortimente,Fix Price
64,Hand scrubbing brush,064_hand-scrubbing-brush.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/f0f3ec2c5baf5faf2fbd63bcce3b17f9_25.jpg,https://fix-price.com/catalog/dlya-doma/p-5044137-schtka-hozyaystvennaya-14-sm-v-assortimente,Fix Price
65,Cellulose sponge cloths (Swedish dishcloth),065_cellulose-sponge-cloths-swedish-dishcloth.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/87/87c6971251e2c161192641a1cb39fe8e.jpg,https://fix-price.com/catalog/dlya-doma/p-5040551-salfetka-tsellyuloznaya-onome-15h15-sm-5-sht-v-assortimente,Fix Price
66,"Viscose all-purpose cloths, multipack",066_viscose-all-purpose-cloths-multipack.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/38b7f0be7f435fb36725c3aae6c00e82.jpg,https://fix-price.com/catalog/dlya-doma/tovary-dlya-uborki/p-5040361-salfetki-iz-viskozy-onome-30h38-sm-10-sht,Fix Price
67,"Dessert plate, single, decorated",067_dessert-plate-single-decorated.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1080/3223127_8712628702823-111_01_hs8nti.webp,https://www.action.com/pl-pl/p/3223127/talerzyk-deserowy/,Action
68,Heavy cotton floor cloth,068_heavy-cotton-floor-cloth.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/77/77339659dd21fb39633e94a72d052438.jpg,https://fix-price.com/catalog/dlya-doma/p-5040467-tryapka-dlya-pola-povyshennoy-plotnosti-onome-80h100-sm,Fix Price
69,Plastic washing-up basin (2.5-26 L),069_plastic-washing-up-basin-2-5-26-l.jpg,https://www.carrefour.pl/images/product/350x350/miska-okragla-z-wylewka-carrefour-2-5-l-mix-883thd.jpg,https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/wyposazenie-domu/domowe-porzadki/wiadra-i-miski/miska-okragla-z-wylewka-carrefour-2-5-l-mix,Carrefour
70,Round screw-lid plastic food container,070_round-screw-lid-plastic-food-container.jpg,https://www.carrefour.pl/images/product/350x350/pojemnik-rukkola-zakrecany-06l-bbrmo9.jpg,https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/wyposazenie-domu/kuchnia-i-jadalnia/przechowywanie-zywnosci/branq-pojemnik-zakrecany-rukola-06l,Carrefour
71,"Plastic food container with lid, single",071_plastic-food-container-with-lid-single.jpg,https://www.carrefour.pl/images/product/350x350/pojemnik-curver-fresh-go-08-l-niebieski-182263-cunmq2.jpg,https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/wyposazenie-domu/kuchnia-i-jadalnia/przechowywanie-zywnosci/pojemnik-na-zywnosc-curver-fresh-go-niebieski-0-8-l,Carrefour
72,Salad / serving bowl (glass / porcelain / plastic),072_salad-serving-bowl-glass-porcelain-plastic.jpg,https://www.carrefour.pl/images/product/350x350/miska-florentyna-basic-20-cm-3s9892-k1grvu.jpg,https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/wyposazenie-domu/kuchnia-i-jadalnia/zastawa-stolowa/florina-salaterka-basic-20cm,Carrefour
73,Long gas-stove lighter (piezo / refillable),073_long-gas-stove-lighter-piezo-refillable.jpg,https://www.carrefour.pl/images/product/350x350/zapalarka-piezoelektryczna-letstrade-zapalarka-gh19-niebieski-gh19-dfanc1.jpg,https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/wyposazenie-domu/kuchnia-i-jadalnia/akcesoria-kuchenne-ul/zapalarka-piezoelektryczna-letstrade-zapalarka-gh19-niebieski-gh19,Carrefour
74,Plastic bucket 10-12 L,074_plastic-bucket-10-12-l.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/vedro_anons.jpg,https://fix-price.com/catalog/dlya-doma/tovary-dlya-uborki/p-5069716-vedro-12-l-v-assortimente,Fix Price
75,Reusable non-woven cloths on a roll,075_reusable-non-woven-cloths-on-a-roll.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/ad/ad46921053b14ef90a497b5d833f8301.jpg,https://fix-price.com/catalog/dlya-doma/p-5040588-tryapki-dlya-uborki-v-rulone-onome-50-sht-v-assortimente,Fix Price
76,Mesh laundry wash bag,076_mesh-laundry-wash-bag.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/af/af8eed5d3dad4260c37165115da2bb6c.JPG,https://fix-price.com/catalog/dlya-doma/p-5079276-meshok-dlya-stirki-nijnego-belya-ome-ime-v-assortimente,Fix Price
77,Spin mop and bucket set,077_spin-mop-and-bucket-set.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/22/221dde887715d23b374e3585419f61f8.jpg,https://fix-price.com/catalog/dlya-doma/p-5044147-shvabra-s-vedrom-ome-ime-115-sm-65-l,Fix Price
78,Stainless steel travel mug (thermo mug),078_stainless-steel-travel-mug-thermo-mug.jpg,https://resources.cdn-kaspi.kz/img/m/p/hc3/h39/85556762116126.png?format=gallery-large,https://kaspi.kz/shop/p/termokruzhka-15224021-221431893-0-51-l-chernyi-117849562/,Kaspi
79,"Soup / deep plate, single (20-24 cm)",079_soup-deep-plate-single-20-24-cm.jpg,https://www.carrefour.pl/images/product/350x350/talerz-gleboki-florentyna-parma-23-x-23-cm-3t5099-t17aog.jpg,https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/wyposazenie-domu/kuchnia-i-jadalnia/zastawa-stolowa/talerz-gleboki-florentyna-parma-23-x-23-cm-3t5099,Carrefour
80,Kitchen scissors,080_kitchen-scissors.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/a2/a225c549bbd64eda3293a77ae88a8ae0.jpg,https://fix-price.com/catalog/dlya-doma/p-5021668-nojnitsy-kuhonnye-itchen-v-assortimente,Fix Price
81,Clear PVC table protector sheet,081_clear-pvc-table-protector-sheet.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1080/32172421.webp,https://www.action.com/pl-pl/p/2573196/przezroczysta-cerata-na-stol/,Action
82,Duct / reinforced repair tape,082_duct-reinforced-repair-tape.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/36570037.webp,https://www.action.com/pl-pl/p/3210681/klejaca-tasma-naprawcza-3m/,Action
83,Zip garment bag / suit cover,083_zip-garment-bag-suit-cover.jpg,https://n11scdn.akamaized.net/a1/400_570/09/47/65/91/IMG-7626690388295122852.jpg,https://www.n11.com/urun/takim-elbise-kilifi-5-adet-fermuarli-gamboc-siyah-34366262,n11
84,Small plastic cutting board,084_small-plastic-cutting-board.jpg,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3016470_8718964179787-110_01_r7uc3p.webp,https://www.action.com/pl-pl/p/3016470/antybakteryjna-deska-do-krojenia-redstone/,Action
85,Dish brush with long handle,085_dish-brush-with-long-handle.jpg,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/60/60d34f017d9eedb631fdfe7b44e84bf2.jpg,https://fix-price.com/catalog/dlya-doma/p-5041113-schtka-dlya-posudy-ome-ime-27-sm-v-assortimente,Fix Price
